Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,NOAA WA,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NOAA weather Blaine WA,,,,
1,SEA 01,160.650000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Public correspondence (ship-to-shore full-duplex) BC Coast,,,,
2,SEA 02,160.700000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Public BC Coast,,,,
3,SEA 03,160.750000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Public BC Coast/Inland,,,,
4,CCG BC,160.800000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Canadian Coast Guard - public working channel BC Coast,,,,
5,SEA 05,160.850000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Ship movements,,,,
6,SEA 06,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Ship-to-ship and ship-to-air,,,,
7,GEN,160.950000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,General working channel,,,,
8,SEA 08,156.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Ship-to-ship East and west coasts,,,,
9,SEA 09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Ship-to-air for maritime support Atlantic and BC coasts,,,,
10,SEA 10,156.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"Ship-to-air - SAR and antipollution  A  General working - Atlantic and BC coasts, Great Lakes",,,,
11,SEA 11,156.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTS - BC coast Pilotage,,,,
12,SEA 12,156.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTS - BC coast Port and pilot ops,,,,
13,SEA 13,156.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTS - BC coast Bridge-to-bridge safety,,,,
